timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649941680859,417,Step4/view-135,200,OK,Purchase and to delete from cart 4-1,text,true,,766,452,5,14,https://api.demoblaze.com/view,417,0,144
1649941680959,400,Step4/view-135,200,OK,Purchase and to delete from cart 4-2,text,true,,696,452,6,16,https://api.demoblaze.com/view,399,0,121
1649941681058,390,Step4/view-135,200,OK,Purchase and to delete from cart 4-3,text,true,,813,452,6,16,https://api.demoblaze.com/view,390,0,128
1649941681277,275,Step4/check-136,200,OK,Purchase and to delete from cart 4-1,text,true,,724,471,7,19,https://api.demoblaze.com/check,273,0,0
1649941681158,394,Step4/view-135,200,OK,Purchase and to delete from cart 4-4,text,true,,755,452,7,19,https://api.demoblaze.com/view,392,0,120
1649941681359,289,Step4/check-136,200,OK,Purchase and to delete from cart 4-2,text,true,,683,471,8,21,https://api.demoblaze.com/check,288,0,0
1649941681260,418,Step4/view-135,200,OK,Purchase and to delete from cart 4-5,text,true,,777,452,9,23,https://api.demoblaze.com/view,415,0,142
1649941681448,271,Step4/check-136,200,OK,Purchase and to delete from cart 4-3,text,true,,510,471,9,23,https://api.demoblaze.com/check,267,0,0
1649941681359,393,Step4/view-135,200,OK,Purchase and to delete from cart 4-6,text,true,,718,452,9,23,https://api.demoblaze.com/view,390,0,118
1649941681553,271,Step4/check-136,200,OK,Purchase and to delete from cart 4-4,text,true,,672,471,10,24,https://api.demoblaze.com/check,271,0,0
1649941681552,321,Step4/addtocart-139,200,OK,Purchase and to delete from cart 4-1,text,true,,307,544,10,24,https://api.demoblaze.com/addtocart,321,0,0
1649941681459,426,Step4/view-135,200,OK,Purchase and to delete from cart 4-7,text,true,,841,452,10,24,https://api.demoblaze.com/view,425,0,124
1649941681558,408,Step4/view-135,200,OK,Purchase and to delete from cart 4-8,text,true,,704,452,10,24,https://api.demoblaze.com/view,408,0,111
1649941681649,324,Step4/addtocart-139,200,OK,Purchase and to delete from cart 4-2,text,true,,307,544,10,23,https://api.demoblaze.com/addtocart,324,0,0
1649941681678,393,Step4/check-136,200,OK,Purchase and to delete from cart 4-5,text,true,,712,471,10,22,https://api.demoblaze.com/check,391,0,0
1649941681752,335,Step4/check-136,200,OK,Purchase and to delete from cart 4-6,text,true,,634,471,10,22,https://api.demoblaze.com/check,334,0,0
1649941681658,432,Step4/view-135,200,OK,Purchase and to delete from cart 4-9,text,true,,814,452,10,22,https://api.demoblaze.com/view,431,0,128
1649941681720,454,Step4/addtocart-139,200,OK,Purchase and to delete from cart 4-3,text,true,,307,544,10,23,https://api.demoblaze.com/addtocart,454,0,0
1649941681886,302,Step4/check-136,200,OK,Purchase and to delete from cart 4-7,text,true,,550,471,10,22,https://api.demoblaze.com/check,297,0,0
1649941681824,444,Step4/addtocart-139,200,OK,Purchase and to delete from cart 4-4,text,true,,307,544,10,21,https://api.demoblaze.com/addtocart,444,0,0
1649941681873,494,Step4/addtocart-141,200,OK,Purchase and to delete from cart 4-1,text,true,,307,544,10,20,https://api.demoblaze.com/addtocart,494,0,0
1649941681966,402,Step4/check-136,200,OK,Purchase and to delete from cart 4-8,text,true,,671,471,10,20,https://api.demoblaze.com/check,400,0,0
1649941681760,611,Step4/view-135,200,OK,Purchase and to delete from cart 4-10,text,true,,652,452,10,20,https://api.demoblaze.com/view,607,0,128
1649941682091,300,Step4/check-136,200,OK,Purchase and to delete from cart 4-9,text,true,,535,471,10,19,https://api.demoblaze.com/check,299,0,0
